Date,Stock Name,positive,negative,neutral,compound
6/17/22,TSLA,0.089,0.82,0.091,-0.7302
6/18/22,TSLA,0.054,0.795,0.15,0.9996
6/19/22,TSLA,0.073,0.831,0.096,0.9574
6/20/22,TSLA,0.082,0.766,0.152,0.9981
6/21/22,TSLA,0.046,0.856,0.098,0.9987
6/22/22,TSLA,0.07,0.803,0.126,0.9995
6/23/22,TSLA,0.077,0.84,0.083,0.8968
6/24/22,TSLA,0.084,0.786,0.131,0.9977
6/25/22,TSLA,0.055,0.828,0.118,0.9978
6/26/22,TSLA,0.05,0.844,0.106,0.9979
6/27/22,TSLA,0.068,0.795,0.137,0.9986
6/28/22,TSLA,0.058,0.815,0.127,0.9993
6/29/22,TSLA,0.051,0.854,0.094,0.9984
6/30/22,TSLA,0.08,0.817,0.103,0.9951
7/1/22,TSLA,0.073,0.822,0.105,0.9975
7/2/22,TSLA,0.063,0.828,0.109,0.9993
7/3/22,TSLA,0.05,0.805,0.145,0.9993
7/4/22,TSLA,0.06,0.83,0.111,0.9982
7/5/22,TSLA,0.083,0.827,0.09,0.9713
7/6/22,TSLA,0.062,0.83,0.108,0.9987
7/7/22,TSLA,0.076,0.836,0.088,0.9718
7/8/22,TSLA,0.067,0.796,0.138,0.9998
7/9/22,TSLA,0.063,0.817,0.119,0.9985
7/10/22,TSLA,0.026,0.892,0.082,0.9936
7/11/22,TSLA,0.094,0.792,0.115,0.9957
7/12/22,TSLA,0.091,0.799,0.11,0.9946
7/13/22,TSLA,0.072,0.807,0.121,0.9992
7/14/22,TSLA,0.06,0.812,0.128,0.9995
7/15/22,TSLA,0.06,0.841,0.098,0.9973
7/16/22,TSLA,0.066,0.86,0.074,0.751
7/17/22,TSLA,0.045,0.884,0.071,0.9844
7/18/22,TSLA,0.038,0.842,0.12,0.9993
7/19/22,TSLA,0.09,0.801,0.109,0.9944
7/20/22,TSLA,0.078,0.809,0.113,0.9997
7/21/22,TSLA,0.08,0.794,0.126,0.9998
7/22/22,TSLA,0.076,0.809,0.115,0.9987
7/23/22,TSLA,0.066,0.817,0.118,0.9975
7/24/22,TSLA,0.062,0.834,0.104,0.9945
7/25/22,TSLA,0.047,0.818,0.135,0.9997
7/26/22,TSLA,0.069,0.815,0.116,0.9988
7/27/22,TSLA,0.058,0.855,0.087,0.9925
7/28/22,TSLA,0.047,0.794,0.159,0.9999
7/29/22,TSLA,0.058,0.806,0.136,0.9997
7/30/22,TSLA,0.049,0.845,0.106,0.9957
7/31/22,TSLA,0.046,0.835,0.119,0.9979
8/1/22,TSLA,0.045,0.849,0.106,0.9993
8/2/22,TSLA,0.063,0.807,0.13,0.9996
8/3/22,TSLA,0.046,0.821,0.133,0.9997
8/4/22,TSLA,0.058,0.822,0.121,0.9997
8/5/22,TSLA,0.048,0.796,0.156,0.9999
8/6/22,TSLA,0.061,0.788,0.15,0.9996
8/7/22,TSLA,0.046,0.832,0.122,0.9989
8/8/22,TSLA,0.067,0.81,0.123,0.9995
8/9/22,TSLA,0.068,0.819,0.113,0.9993
8/10/22,TSLA,0.073,0.785,0.142,0.9999
8/11/22,TSLA,0.097,0.758,0.145,0.9994
8/12/22,TSLA,0.066,0.804,0.13,0.9995
8/13/22,TSLA,0.032,0.894,0.074,0.9953
8/14/22,TSLA,0.063,0.808,0.129,0.9985
8/15/22,TSLA,0.079,0.804,0.117,0.9994
8/16/22,TSLA,0.048,0.846,0.106,0.9994
8/17/22,TSLA,0.087,0.8,0.113,0.9973
8/18/22,TSLA,0.055,0.826,0.118,0.9995
8/19/22,TSLA,0.02,0.884,0.096,0.9988
8/20/22,TSLA,0.067,0.829,0.104,0.9918
8/21/22,TSLA,0.037,0.822,0.141,0.9995
8/22/22,TSLA,0.062,0.81,0.127,0.9997
8/23/22,TSLA,0.084,0.791,0.125,0.9989
8/24/22,TSLA,0.062,0.825,0.113,0.9995
8/25/22,TSLA,0.07,0.802,0.128,0.9997
8/26/22,TSLA,0.052,0.855,0.093,0.9972
8/27/22,TSLA,0.065,0.818,0.117,0.9986
8/28/22,TSLA,0.066,0.8,0.134,0.9993
8/29/22,TSLA,0.052,0.834,0.114,0.9994
8/30/22,TSLA,0.057,0.808,0.135,0.9996
8/31/22,TSLA,0.065,0.815,0.12,0.9982
9/1/22,TSLA,0.055,0.838,0.106,0.9985
9/2/22,TSLA,0.055,0.808,0.138,0.9997
9/3/22,TSLA,0.028,0.806,0.166,0.9997
9/4/22,TSLA,0.04,0.849,0.111,0.9979
9/5/22,TSLA,0.043,0.879,0.078,0.9853
9/6/22,TSLA,0.058,0.835,0.107,0.9983
9/7/22,TSLA,0.066,0.801,0.133,0.9993
9/8/22,TSLA,0.065,0.854,0.081,0.9888
9/9/22,TSLA,0.056,0.837,0.108,0.9994
9/10/22,TSLA,0.086,0.805,0.109,0.9813
9/11/22,TSLA,0.06,0.785,0.155,0.9993
9/12/22,TSLA,0.042,0.866,0.092,0.9986
9/13/22,TSLA,0.059,0.82,0.121,0.9991
9/14/22,TSLA,0.072,0.811,0.117,0.9994
9/15/22,TSLA,0.07,0.797,0.134,0.9996
9/16/22,TSLA,0.04,0.857,0.104,0.9994
9/17/22,TSLA,0.072,0.795,0.133,0.9985
9/18/22,TSLA,0.051,0.854,0.095,0.9956
9/19/22,TSLA,0.058,0.826,0.116,0.9992
9/20/22,TSLA,0.089,0.817,0.094,0.9631
9/21/22,TSLA,0.053,0.877,0.07,0.9705
9/22/22,TSLA,0.084,0.808,0.108,0.9965
9/23/22,TSLA,0.072,0.796,0.132,0.9994
9/24/22,TSLA,0.034,0.872,0.094,0.9947
9/25/22,TSLA,0.091,0.78,0.129,0.9937
9/26/22,TSLA,0.078,0.788,0.134,0.9992
9/27/22,TSLA,0.053,0.85,0.097,0.9987
9/28/22,TSLA,0.083,0.794,0.123,0.9983
9/29/22,TSLA,0.088,0.791,0.122,0.9991
